Title,Date,Size,Location,Description,Price
Sale of a lovely apartment in Maârif. 3 r...,Published today,"1 bedroom, 70 m²","Maârif in
   						Casablanca","buy your apartment. price 1,250,000 dh. 3 living areas, 1 bathroom, 70 m². 1 bedroom. 5th on the top floor. less than 20 years. floor type: marble. attic.

ideal if you want to buy an apartment in maârif.
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,250,000 DH
					</span>"
Apartment to purchase in Al Azhar. 1 love...,Published today,"2 bedrooms, 79 m²","Al Azhar in
   						Casablanca","buy your apartment. price 560,000 dh. 2 living areas, 2 bathrooms, 51 m². 1 room. new. residence equipped with a lift. you will also enjoy a beautiful terrace.

come and check out this apartment for sale in al
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">720,000 DH
					</span>"
Find an apartment to buy in Oasis. 3 larg...,Published today,"2 bedrooms, 81 m²","Oasis in
   						Casablanca","ideal apartment for sale. price 1,580,000 dh. 3 living areas, 2 bathrooms, area 81 m². 2 bedrooms. new.

this apartment is offered for sale in oasis, casablanca.","<span class=""priceTag hardShadow float-right floatL"">1,580,000 DH
					</span>"
Beautiful apartment for sale. Area of 80...,Published today,"3 bedrooms, 110 m²","Ahl Loghlam (Hay Assalam) in
   						Casablanca","unique opportunity in this apartment for sale. 4 living areas including 3 rooms, 2 bathrooms, 80 m². new. private garden, no lift, large terrace.

this apartment is offered for sale . large swimming
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">455,000 DH
					</span>"
Beautiful apartment for sale in La Girond...,Published today,"2 bedrooms, 110 m²","La Gironde in
   						Casablanca","lovely apartment for sale. price 1,320,000 dh. 2 rooms, 2 bathrooms, area 110 m². 4 rooms. 1st on the first floor. new. covering: marble. living room with moroccan decor, general satellite dish system, secured
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,320,000 DH
					</span>"
Apartment for sale in Al Azhar. Area of 6...,Published today,"2 bedrooms, 62 m²","Bernoussi in
   						Casablanca","amazing deal on this apartment for sale. price 590,000 dh. 3 living areas with 2 rooms, 1 bathroom, 62 m². residence with swimming pool, integrated air conditioning.

this apartment is offered for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">590,000 DH
					</span>"
Fabulous apartment for sale in Bernoussi...,Published today,"2 bedrooms, 50 m²","Bernoussi in
   						Casablanca","get a great deal by buying this apartment. price 250,000 dh. 2 rooms, 2 bathrooms, 50 m². 3 rooms. new. green areas and lift.

this apartment is for sale in bernoussi, casablanca. fully equipped
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Find an apartment to buy in Al Azhar. Lar...,Published today,"2 bedrooms, 85 m²","Bernoussi in
   						Casablanca","get a great deal by buying this apartment. price 820,000 dh. 3 living areas with 2 rooms, 1 bathroom, 85 m². absolute comfort with swimming pool and air conditioning.

this apartment is offered for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">820,000 DH
					</span>"
Apartment to purchase in Californie. 3 be...,Published today,"3 bedrooms, 85 m²","Californie in
   						Casablanca","unique opportunity in this apartment for sale. 3 bedrooms, 2 bathrooms, 85 m².

this apartment is for sale in californie, casablanca. fully equipped kitchen. secured neighbourhood.","<span class=""priceTag hardShadow float-right floatL"">
							Price on request
						
					</span>"
Find an apartment to buy in Ain Diab Exte...,Published today,"3 bedrooms, 94 m²","Ain Diab Extension in
   						Casablanca","the boulevard de biarritz becomes the new luxury address in anfa!

located 2 minutes from the morocco mall, biarritz anfa ocean is the new high standing real estate project signed by anwar luxury.

true to its
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,804,000 DH
					</span>"
Apartment for sale in Californie. Total a...,Published today,"3 bedrooms, 182 m²","Californie in
   						Casablanca","don't miss out on this apartment for sale. price 2,600,000 dh. 3 rooms, 3 bathrooms, 182 m². 4 rooms. 1st level. less than 1 year. floor type: wooden. green areas no lift, balcony.

this apartment is for sale
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,600,000 DH
					</span>"
Sale of a lovely apartment in Bourgogne E...,Published today,"1 bedroom, 44 m²","Bourgogne Est in
   						Casablanca","lovely apartment for sale. price 1,395,680 dh. 2 living areas, 1 bathroom, 44 m². 1 room. new. large balcony.

come and check out this apartment for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">1,395,680 DH
					</span>"
Fabulous apartment for sale in Bourgogne...,Published today,"2 bedrooms, 62 m²","Bourgogne Est in
   						Casablanca","lovely apartment for sale. price 2,044,340 dh. 2 rooms, 1 bathroom, area 62 m². 3 rooms. new. balcony.

this apartment is offered for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">2,044,340 DH
					</span>"
Sale of a lovely apartment in Bourgogne E...,Published today,"1 bedroom, 46 m²","Bourgogne Est in
   						Casablanca","don't miss out on this apartment for sale. price 1,500,180 dh. 2 living areas, 1 bathroom, area 46 m². 1 bedroom. new. terrace.

come and check out this apartment for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">1,500,180 DH
					</span>"
Find an apartment to buy in Sidi Moumen...,Published today,"2 bedrooms, 84 m²","Sidi Moumen in
   					Casablanca","buy your apartment. price 850,000 dh. 2 rooms, 1 bathroom, 84 m². 3 rooms. 1st ground floor. good condition.

come and check out this apartment for sale in sidi moumen, casablanca.","<span class=""priceTag hardShadow float-right floatL"">850,000 DH
					</span>"
Apartment for sale in Californie. 3 rooms...,Published today,"3 bedrooms, 116 m²","Californie in
   					Casablanca","unique opportunity in this apartment for sale. price 1,850,000 dh. 3 rooms, 2 bathrooms, area 116 m². 3 rooms. 3rd storey. less than 20 years. covering: tiled. green areas no lift, balcony.

come and check
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,850,000 DH
					</span>"
Beautiful apartment for sale in Benjdia...,Published today,"2 bedrooms, 48 m²","Benjdia in
   					Casablanca","lovely apartment for sale. price 440,000 dh. 2 rooms, 1 bathroom, area 48 m². 2 rooms. 2nd storey. less than 30 years. covering: tiled. fantastic terrace.

this apartment is for sale in benjdia,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">440,000 DH
					</span>"
Apartment to purchase in Racine. Surface...,Published today,"3 bedrooms, 300 m²","Racine in
   					Casablanca","get a great deal by buying this apartment. price 4,800,000 dh. 5 living areas, 3 bathrooms, 300 m². 3 rooms. new. balcony.

come and check out this apartment for sale in racine, casablanca.","<span class=""priceTag hardShadow float-right floatL"">4,800,000 DH
					</span>"
Find an apartment to buy in Roches Noires...,Published today,"3 bedrooms, 214 m²","Roches Noires in
   					Casablanca","lovely apartment for sale. price 1,550,000 dh. 3 rooms, 2 bathrooms, 214 m². 4 rooms. good condition. caretaker service available, integrated air conditioning.

this apartment is for sale in roches noires.
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,550,000 DH
					</span>"
Sell apartment in Oasis. 3 large rooms. C...,Published today,"2 bedrooms, 104 m²","Oasis in
   					Casablanca","unique opportunity in this apartment for sale. price 2,500,000 dh. 2 rooms, 2 bathrooms, 104 m². 3 rooms. 1st storey. less than 5 years. floor type: marble. fully furnished property.

ideal if you want to
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,500,000 DH
					</span>"
Beautiful apartment for sale in Mers Sult...,Published today,"2 bedrooms, 85 m²","Mers Sultan in
   					Casablanca","lovely apartment for sale. price 17,500 dh. 2 living areas, 2 bathrooms, area 85 m². 2 bedrooms. 4th property storey. less than 1 year. covering: wooden.

this apartment is for sale in mers sultan,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">17,500 DH
					</span>"
Sale of a lovely apartment in Hay Antaria...,Published today,"2 bedrooms, 65 m²","Hay Antaria in
   					Casablanca","ideal apartment for sale. price 770,000 dh. 2 rooms, 2 bathrooms, area 65 m². 3 rooms. 5th property storey. less than 1 year. covering: marble. secured residence. superb moroccan living room and satellite
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">770,000 DH
					</span>"
Beautiful apartment for sale in Maârif. 2...,Published today,"2 bedrooms, 122 m²","Maârif in
   					Casablanca","look over this apartment for sale. price 1,450,000 dh. 2 bedrooms, 2 bathrooms, 122 m². 2 rooms. 3rd storey. less than 20 years. floor type: marble. living room with moroccan decor, general satellite dish
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,450,000 DH
					</span>"
Find an apartment to buy in Maârif. 1 roo...,Published today,"1 bedroom, 49 m²","Maârif in
   					Casablanca","don't miss out on this apartment for sale. price 890,000 dh. 2 living areas, 1 bathroom, area 49 m². 1 bedroom. 2nd storey. less than 1 year. covering: marble. no lift, balcony.

this apartment is offered
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">890,000 DH
					</span>"
Beautiful apartment for sale in Ahl Loghl...,Published today,"3 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20 mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Apartment for sale in Oulfa. 3 large room...,Published today,"2 bedrooms, 77 m²","Oulfa in
	 					Casablanca","look over this apartment for sale. price 1,116,500 dh. 3 living areas, 2 rooms, 2 bathrooms, 77 m². 3rd property storey. less than 1 year. floor type: marble. secured residence with satellite dish. the
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,078,000 DH
					</span>"
Apartment to purchase in Al Azhar. 1 love...,Published today,"2 bedrooms, 76 m²","Al Azhar in
	 					Casablanca","buy your apartment. price 560,000 dh. 2 living areas, 2 bathrooms, 51 m². 1 room. new. residence equipped with a lift. you will also enjoy a beautiful terrace.

come and check out this apartment for sale
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">640,000 DH
					</span>"
Find an apartment to buy in Casablanca Fi...,Published today,"3 bedrooms, 133 m²","Casablanca Finance City in
	 					Casablanca","buy your apartment. price 2,300,000 dh. 3 rooms, 2 bathrooms, area 133 m². 4 rooms. 5th on the top floor. new. caretaker service at your disposal, property with swimming pool, integrated air
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">2,300,000 DH
					</span>"
Apartment for sale. 2 large rooms. Integr...,Published today,"1 bedroom, 59 m²","Oasis in
	 					Casablanca","les palmiers residence is located on “route el jadida”, a strategic location in casablanca. a residence that makes your daily comfort its leitmotif. a residence that will allow you to enjoy quality
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,239,000 DH
					</span>"
Apartment for sale in City Dar Es Salaam...,Published today,"3 bedrooms, 101 m²","City Dar Es Salaam in
	 					Casablanca","look over this apartment for sale. price 1,037,000 dh. 4 living areas, 1 bathroom, area 101 m². 3 rooms. 1st on the first floor. new. stove.

come and check out this apartment for sale in city dar es
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,037,000 DH
					</span>"
Sale of a lovely apartment in Tantonville...,Published today,"3 bedrooms, 139 m²","Tantonville in
	 					Casablanca","amazing deal on this apartment for sale. price 2,432,500 dh. 4 living areas, 3 rooms, 2 bathrooms, 139 m². no lift, large terrace.

this apartment is for sale in tantonville. caretaker available.

plan
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">2,432,500 DH
					</span>"
Beautiful apartment for sale in Californi...,Published today,"3 bedrooms, 125 m²","Californie in
	 					Casablanca","utopia, the first residential complex in the california district!
imagine living in an idyllic setting with a multitude of relaxation and leisure areas within the residence itself: swimming pool, green
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">2,249,000 DH
					</span>"
Les Allées de Californie launches its 2nd phase!,,,Californie in Casablanca,"composed of 4 buildings in r 4, les allées de californie 2 is a closed and secured residence located in the district of california which proposes you high standing apartments of surfaces which go from 84 to 124 m ², from 1 329 000 dh, 100% declared.
-	closed and secured
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
<span class=""fSize13"">From </span>1,329,000 DH
					</span>"
Sale of a lovely apartment in Bourgogne E...,Published today,"1 bedroom, 42 m²","Bourgogne Est in
   						Casablanca","unique opportunity in this apartment for sale. price 1,375,080 dh. 2 living areas, 1 bathroom, 42 m². 1 room. new. large balcony.

this apartment is offered for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">1,375,080 DH
					</span>"
Sale of a lovely apartment in Bourgogne E...,Published today,"1 bedroom, 43 m²","Bourgogne Est in
   						Casablanca","get a great deal by buying this apartment. price 1,281,080 dh. 2 living areas, 1 bathroom, area 43 m². 1 bedroom. new. large terrace.

come and check out this apartment for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">1,281,080 DH
					</span>"
Apartment to purchase in Bourgogne Est. S...,Published today,"1 bedroom, 38 m²","Bourgogne Est in
   						Casablanca","get a great deal by buying this apartment. price 1,146,480 dh. 2 living areas, 1 bathroom, area 38 m². 1 room. new. fantastic terrace.

ideal if you want to buy an apartment in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">1,146,480 DH
					</span>"
Sell apartment in Bourgogne Est. 1 room,Published today,"2 bedrooms, 89 m²","Bourgogne Est in
   						Casablanca","amazing deal on this apartment for sale. price 2,757,670 dh. 3 living areas, 2 bathrooms, area 89 m². 2 rooms. new. large terrace.

ideal if you want to buy an apartment in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">2,757,670 DH
					</span>"
Sell apartment in Bourgogne Est. Total ar...,Published today,"2 bedrooms, 85 m²","Bourgogne Est in
   						Casablanca","buy your apartment. price 2,721,460 dh. 2 rooms, 2 bathrooms, area 85 m². 3 rooms. new. balcony.

this apartment is for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">2,721,460 DH
					</span>"
Sale of a lovely apartment in Bourgogne E...,Published today,"3 bedrooms, 122 m²","Bourgogne Est in
   						Casablanca","amazing deal on this apartment for sale. price 4,402,940 dh. 3 rooms, 2 bathrooms, 122 m². 4 rooms. new. balcony.

come and check out this apartment for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">4,402,940 DH
					</span>"
Apartment for sale in Bourgogne Est. Area...,Published today,"3 bedrooms, 129 m²","Bourgogne Est in
   						Casablanca","unique opportunity in this apartment for sale. price 3,400,000 dh. 3 rooms, 2 bathrooms, area 129 m². 4 rooms. new. fantastic terrace.

this apartment is offered for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">3,400,000 DH
					</span>"
Apartment to purchase in Bourgogne Est. T...,Published today,"2 bedrooms, 90 m²","Bourgogne Est in
   						Casablanca","lovely apartment for sale. price 2,828,100 dh. 2 rooms, 2 bathrooms, area 90 m². 3 rooms. new. large terrace.

come and check out this apartment for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">2,828,100 DH
					</span>"
Fabulous apartment for sale in Bourgogne...,Published today,"1 bedroom, 61 m²","Bourgogne Est in
   						Casablanca","don't miss out on this apartment for sale. price 1,960,460 dh. 2 living areas, 1 bathroom, area 61 m². 1 room. new. large balcony.

this apartment is offered for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">1,960,460 DH
					</span>"
Find an apartment to buy in Bourgogne Est...,Published today,"1 bedroom, 46 m²","Bourgogne Est in
   						Casablanca","lovely apartment for sale. price 1,644,470 dh. 2 living areas, 1 bathroom, 46 m². 1 bedroom. new. balcony.

ideal if you want to buy an apartment in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">1,644,470 DH
					</span>"
Find an apartment to buy in Bourgogne Est...,Published today,"1 bedroom, 38 m²","Bourgogne Est in
   						Casablanca","get a great deal by buying this apartment. price 1,341,160 dh. 2 living areas, 1 bathroom, area 38 m². 1 bedroom. new. large balcony.

come and check out this apartment for sale in bourgogne est, casablanca.","<span class=""priceTag hardShadow float-right floatL"">1,341,160 DH
					</span>"
Beautiful apartment for sale in Les princ...,Published today,"1 bedroom, 56 m²","Les princesses in
   						Casablanca","look over this apartment for sale. 2 living areas, 1 bathroom, 56 m². 1 bedroom. 4th on the top floor. new.

ideal if you want to buy an apartment in les princesses. comfort and tradition with a beautiful
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,050,000 DH
					</span>"
Sell apartment in Les princesses. 1 room...,Published today,"1 bedroom, 46 m²","Les princesses in
   						Casablanca","unique opportunity in this apartment for sale. 2 living areas, 1 bathroom, 46 m². 1 bedroom. 3rd ground floor. new.

this apartment is for sale in les princesses. equipped with a satellite dish and a reinforced
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">920,000 DH
					</span>"
Apartment to purchase in Les princesses...,Published today,"1 bedroom, 72 m²","Les princesses in
   						Casablanca","ideal apartment for sale. 2 living areas, 1 bathroom, 72 m². 1 room. 5th on the first floor. new.

this apartment is for sale in les princesses. no lift, car parking spaces, large terrace. enjoy the comfort of
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,300,000 DH
					</span>"
Apartment for sale in Maârif Extension. T...,Published today,"3 bedrooms, 133 m²","Maârif Extension in
   						Casablanca","lovely apartment for sale. price 985,000 dh. 2 living areas, 1 bathroom, 47 m². 1 room. new. private garden, no lift, balcony.

this apartment is offered for sale in maârif extension. comfort and security with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,332,000 DH
					</span>"
Sale of a lovely apartment in Racine. Dim...,Published today,"1 bedroom, 108 m²","Racine in
   					Casablanca","amazing deal on this apartment for sale. price 1,944,000 dh. 1 bathroom, area of ​​108 m². 1 rooms. 1 bedroom. 5th ground floor. less than 10 years. covering: marble. fully furnished.

this apartment is
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,944,000 DH
					</span>"
Fabulous apartment for sale in Belvédère...,Published today,"3 bedrooms, 102 m²","Belvédère in
   					Casablanca","get a great deal by buying this apartment. price 1,175,000 dh. 3 rooms, 2 bathrooms, area 102 m². 4 rooms. 3rd storey. less than 20 years. floor type: marble. caretaker service available, integrated air
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,175,000 DH
					</span>"
Splendid villa for sale in Vermont. 10 la...,Published today,"5 bedrooms, 1452 m²","Californie in
   					Casablanca","superb benefits with this villa for sale. price 13,900,000 dh. 10 living areas, 2 bathrooms, area 1452 m². 5 bedrooms. less than 30 years. floor type: marble. the exterior consists of a garden and a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">13,900,000 DH
					</span>"
Sale of a lovely apartment in Oulfa. 8 ro...,Published today,"3 bedrooms, 113 m²","Oulfa in
   					Casablanca","amazing deal on this apartment for sale. price 1,600,000 dh. 8 living areas, 2 bathrooms, area 113 m². 3 bedrooms. 2nd storey. less than 20 years. floor type: marble. new furniture.

ideal if you want to
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,600,000 DH
					</span>"
Apartment for sale in Sidi Maarouf. 3 com...,Published today,"2 bedrooms, 59 m²","Sidi Maarouf in
   					Casablanca","look over this apartment for sale. price 970,000 dh. 2 rooms, 2 bathrooms, area 59 m². 3 rooms. 1st storey. less than 5 years. floor type: marble. oven.

this apartment is offered for sale in sidi maarouf,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">970,000 DH
					</span>"
High quality house for sale in Derb Carlo...,Published today,"4 bedrooms, 746 m²","Les Crêtes in
   					Casablanca","refinement and comfort with this villa for sale. price 9,000,000 dh. 6 living areas, 3 private bathrooms, 746 m². 4 bedrooms. due for reform. green area, carpark, balcony.

this beautiful villa is for sale
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">9,000,000 DH
					</span>"
Apartment for sale in Belvédère. Area of...,Published today,"2 bedrooms, 173 m²","Belvédère in
   					Casablanca","amazing deal on this apartment for sale. price 1,448,000 dh. 2 rooms, 2 bathrooms, area 173 m². 4 rooms. less than 5 years. floor type: tiled. equipped with a satellite dish.

come and check out this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,300,000 DH
					</span>"
Sell apartment in Tantonville. 4 lovely r...,Published today,"5 bedrooms, 229 m²","Tantonville in
   					Casablanca","look over this apartment for sale. price 2,650,000 dh. 8 living areas, 3 private bathrooms, 229 m². 5 rooms. 2nd on the top floor. less than 20 years. covering: marble. comfort and tradition with a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,650,000 DH
					</span>"
Find an apartment to buy in Roches Noires...,Published today,"2 bedrooms, 104 m²","Roches Noires in
   					Casablanca","unique opportunity in this apartment for sale. price 980,000 dh. 5 living areas, 2 bathrooms, area 104 m². 2 rooms. 1st storey. good condition.

this apartment is for sale in roches noires,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">980,000 DH
					</span>"
Apartment to purchase in Hay Albaraka. 3...,Published today,"2 bedrooms, 71 m²","Hay Albaraka in
   					Casablanca","look over this apartment for sale. price 485,000 dh. 3 living areas, 2 rooms, 1 bathroom, 71 m². 3rd level. less than 20 years. traditional moroccan living room.

ideal if you want to buy an apartment in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">505,000 DH
					</span>"
Apartment to purchase in Al Azhar. 1 love...,Published today,"2 bedrooms, 79 m²","Al Azhar in
	 					Casablanca","buy your apartment. price 560,000 dh. 2 living areas, 2 bathrooms, 51 m². 1 room. new. residence equipped with a lift. you will also enjoy a beautiful terrace.

come and check out this apartment for sale
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">720,000 DH
					</span>"
Find an apartment to buy in La Vilette. T...,Published today,"2 bedrooms, 94 m²","La Vilette in
	 					Casablanca","built in r 5, aday la villette is a residence strategically located in the district of la villette, casablanca, offering luxury apartments with an area of 54m ² to 110 m², from 589 000 dh, price 100%
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,066,000 DH
					</span>"
Splendido appartamento da acquistare a Ca...,Published today,"4 bedrooms, 199 m²","Californie in
	 					Casablanca","acquista questo bellissimo appartamento. prezzo 2 151 000 dh. 3 locali e 2 bagni, 123 m². 2 camere da letto. nuovo. terrazzo.

vieni a vedere questo appartamento in vendita a californie. tranquillità
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">4,407,500 DH
					</span>"
Beautiful apartment for sale in Belvédère...,Published today,"2 bedrooms, 96 m²","Belvédère in
	 					Casablanca","ideal apartment for sale. price 1,190,000 dh. 2 rooms, 2 bathrooms, area 96 m². 4 rooms. 1st property storey. new. floor type: marble. with lift, car parking spaces, balcony.

ideal if you want to buy an
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,190,000 DH
					</span>"
Sale of a lovely apartment in Aïn Sebaâ...,Published today,"2 bedrooms, 83 m²","Aïn Sebaâ in
	 					Casablanca","the second installment adjoining the first is awaiting you ! now, you too can acquire an apartment with unequaled quality/price reports: these quality apartments meeting your every expectation in ain sebaa
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">984,500 DH
					</span>"
Sale of a lovely apartment in Belvédère...,Published today,"2 bedrooms, 119 m²","Belvédère in
	 					Casablanca","unique opportunity in this apartment for sale. price 1,340,000 dh. 2 bedrooms, 2 bathrooms, 119 m². 3 rooms. 1st level. new. covering: marble. residence perfectly equipped with lift and carpark. you will
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,340,000 DH
					</span>"
Fabulous apartment for sale in Aïn Sebaâ...,Published today,"1 bedroom, 49 m²","Aïn Sebaâ in
	 					Casablanca","the residential project ""as living"" is the new symbol of modernity in the ain sebaâ district.

the project offers luxury apartments and studios ranging from 41 to 126 m² from 483,000 dh.

- 1 or 2 or 3
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">583,100 DH
					</span>"
Apartment for sale in Oasis. Large area 1...,Published today,"3 bedrooms, 155 m²","Oasis in
	 					Casablanca","don't miss out on this apartment for sale. price 3,000,000 dh. 4 living areas, 2 bathrooms, area 155 m². 3 rooms. new.

ideal if you want to buy an apartment in oasis, casablanca.","<span class=""priceTag hardShadow float-right floatL yellowBg"">3,000,000 DH
					</span>"
